neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,year
Manhattan,Kips Bay,Entire home/apt,200,7,19,2019.0
Brooklyn,Williamsburg,Entire home/apt,150,30,105,2019.0
Manhattan,Lower East Side,Private room,110,5,19,2019.0
Manhattan,Hell's Kitchen,Private room,69,2,289,2019.0
Brooklyn,Greenpoint,Private room,49,4,138,2019.0
Manhattan,SoHo,Entire home/apt,180,30,21,2019.0
Brooklyn,Williamsburg,Private room,80,2,42,2019.0
Manhattan,Chelsea,Entire home/apt,375,180,5,2018.0
Manhattan,Upper East Side,Entire home/apt,250,2,66,2019.0
Brooklyn,Prospect Heights,Entire home/apt,200,30,143,2019.0
Brooklyn,Clinton Hill,Private room,55,7,27,2017.0
Manhattan,Hell's Kitchen,Private room,52,30,191,2019.0
Brooklyn,Park Slope,Entire home/apt,225,3,4,2017.0
Manhattan,East Village,Private room,80,1,338,2019.0
Brooklyn,Williamsburg,Entire home/apt,275,1,148,2019.0
Manhattan,East Village,Private room,99,1,106,2019.0
Manhattan,East Harlem,Entire home/apt,225,4,190,2019.0
Manhattan,East Village,Entire home/apt,230,9,49,2018.0
Manhattan,Hell's Kitchen,Private room,51,7,23,2019.0
Manhattan,Washington Heights,Private room,65,2,49,2019.0
Brooklyn,Clinton Hill,Private room,105,2,105,2019.0
Manhattan,East Village,Entire home/apt,190,5,21,2019.0
Manhattan,Upper East Side,Private room,200,1,142,2019.0
Queens,Woodside,Private room,70,30,25,2019.0
Brooklyn,Fort Greene,Private room,95,3,143,2019.0
Manhattan,Chelsea,Private room,150,3,167,2019.0
Brooklyn,Williamsburg,Private room,145,3,61,2019.0
Manhattan,Harlem,Entire home/apt,110,31,54,2019.0
Manhattan,Lower East Side,Entire home/apt,285,5,70,2019.0
Brooklyn,Flatbush,Entire home/apt,130,6,16,2019.0
Manhattan,Lower East Side,Private room,94,30,94,2019.0
Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,2016.0
Brooklyn,Williamsburg,Entire home/apt,105,3,61,2018.0
Manhattan,East Village,Private room,60,3,194,2019.0
Manhattan,East Village,Private room,50,1,2,2016.0
Brooklyn,Williamsburg,Private room,85,3,174,2019.0
Brooklyn,Bushwick,Private room,65,4,24,2019.0
Brooklyn,Prospect Heights,Entire home/apt,131,4,166,2019.0
Brooklyn,Clinton Hill,Private room,98,7,16,2019.0
Brooklyn,Prospect Heights,Entire home/apt,250,7,21,2019.0
Brooklyn,Williamsburg,Entire home/apt,100,5,168,2018.0
Brooklyn,Bushwick,Entire home/apt,105,3,118,2019.0
Manhattan,Upper West Side,Entire home/apt,140,3,81,2019.0
Manhattan,Harlem,Private room,89,1,1,2018.0
Manhattan,Chelsea,Private room,98,30,30,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,2018.0
Manhattan,Harlem,Private room,60,3,11,2019.0
Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,2019.0
Manhattan,West Village,Entire home/apt,500,4,46,2019.0
Brooklyn,Williamsburg,Private room,101,3,335,2019.0
Brooklyn,Park Slope,Entire home/apt,220,30,88,2018.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,2019.0
Brooklyn,Williamsburg,Entire home/apt,80,30,29,2018.0
Manhattan,Harlem,Private room,100,2,170,2019.0
Brooklyn,Gowanus,Entire home/apt,200,30,19,2017.0
Manhattan,Hell's Kitchen,Private room,59,2,334,2019.0
Brooklyn,Clinton Hill,Private room,125,2,19,2019.0
Manhattan,East Village,Entire home/apt,140,7,12,2017.0
Brooklyn,South Slope,Entire home/apt,120,30,467,2018.0
Manhattan,East Village,Entire home/apt,350,2,7,2017.0
Brooklyn,Williamsburg,Entire home/apt,325,3,324,2019.0
Manhattan,Upper West Side,Entire home/apt,235,6,27,2019.0
Manhattan,East Village,Entire home/apt,225,1,115,2019.0
Brooklyn,South Slope,Private room,99,2,354,2019.0
Manhattan,Harlem,Entire home/apt,170,2,195,2019.0
Brooklyn,South Slope,Entire home/apt,400,2,16,2018.0
Manhattan,Upper West Side,Entire home/apt,170,7,13,2019.0
Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,2018.0
Manhattan,Upper East Side,Entire home/apt,150,5,21,2017.0
Manhattan,Washington Heights,Private room,85,15,36,2017.0
Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,2019.0
Manhattan,Harlem,Entire home/apt,120,3,155,2019.0
Brooklyn,Clinton Hill,Private room,89,3,260,2019.0
Manhattan,East Village,Entire home/apt,185,5,73,2019.0
Brooklyn,Greenpoint,Private room,50,3,193,2019.0
Manhattan,Lower East Side,Entire home/apt,105,3,32,2019.0
Manhattan,Hell's Kitchen,Private room,130,2,50,2019.0
Manhattan,West Village,Entire home/apt,115,29,26,2019.0
Brooklyn,Flatlands,Private room,77,2,2,2019.0
Brooklyn,Clinton Hill,Private room,76,2,426,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2019.0
Brooklyn,Clinton Hill,Private room,135,4,84,2019.0
Brooklyn,Greenpoint,Entire home/apt,250,29,3,2017.0
Brooklyn,Williamsburg,Entire home/apt,199,3,10,2018.0
Brooklyn,Cobble Hill,Entire home/apt,140,2,4,2016.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,2019.0
Brooklyn,Williamsburg,Entire home/apt,160,3,11,2019.0
Brooklyn,Williamsburg,Entire home/apt,195,4,240,2019.0
Manhattan,East Village,Entire home/apt,195,3,30,2019.0
Brooklyn,Williamsburg,Private room,80,3,200,2019.0
Brooklyn,Fort Greene,Private room,44,8,27,2019.0
Manhattan,West Village,Private room,156,4,79,2019.0
Brooklyn,Williamsburg,Private room,125,3,155,2019.0
Brooklyn,Prospect Heights,Entire home/apt,115,15,4,2018.0
Manhattan,East Harlem,Private room,69,2,34,2017.0
Manhattan,West Village,Entire home/apt,225,45,134,2019.0
Brooklyn,Williamsburg,Entire home/apt,125,6,27,2018.0
Manhattan,Upper East Side,Entire home/apt,219,4,126,2019.0
Brooklyn,Boerum Hill,Entire home/apt,475,3,23,2018.0
Manhattan,Upper East Side,Entire home/apt,99,1,234,2019.0
Brooklyn,Williamsburg,Private room,69,4,202,2019.0
Queens,Sunnyside,Private room,79,30,28,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2019.0
Manhattan,Upper East Side,Entire home/apt,250,3,4,2016.0
Brooklyn,Gowanus,Entire home/apt,250,2,80,2019.0
Brooklyn,Clinton Hill,Private room,70,2,294,2019.0
Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,2019.0
Staten Island,St. George,Private room,70,2,166,2019.0
Brooklyn,Bushwick,Private room,50,2,47,2019.0
Bronx,Highbridge,Private room,40,1,219,2019.0
Brooklyn,Williamsburg,Entire home/apt,150,2,193,2016.0
Manhattan,East Village,Private room,125,1,84,2019.0
Manhattan,Financial District,Entire home/apt,196,3,114,2019.0
Brooklyn,Fort Greene,Private room,110,2,213,2019.0
Manhattan,West Village,Entire home/apt,170,3,86,2019.0
Manhattan,Harlem,Entire home/apt,165,3,80,2019.0
Manhattan,West Village,Entire home/apt,150,26,38,2016.0
Manhattan,Harlem,Entire home/apt,100,2,18,2018.0
Brooklyn,Fort Greene,Private room,65,2,206,2019.0
Queens,Ridgewood,Entire home/apt,350,8,10,2019.0
Manhattan,Morningside Heights,Private room,99,4,122,2019.0
Brooklyn,Williamsburg,Entire home/apt,200,4,33,2019.0
Brooklyn,Park Slope,Entire home/apt,150,5,52,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,2019.0
Brooklyn,Prospect Heights,Private room,120,3,51,2019.0
Manhattan,Upper East Side,Private room,75,3,199,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,2019.0
Manhattan,Lower East Side,Entire home/apt,299,2,109,2019.0
Brooklyn,South Slope,Entire home/apt,135,5,151,2019.0
Manhattan,Lower East Side,Private room,83,1,285,2019.0
Manhattan,Chelsea,Private room,123,1,375,2019.0
Queens,Jamaica,Private room,55,2,52,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,2017.0
Queens,Middle Village,Entire home/apt,265,7,38,2019.0
Brooklyn,Williamsburg,Entire home/apt,249,2,358,2019.0
Brooklyn,Prospect Heights,Private room,100,2,226,2019.0
Manhattan,Harlem,Entire home/apt,121,1,104,2019.0
Bronx,Highbridge,Private room,45,1,138,2019.0
Manhattan,East Harlem,Private room,100,5,204,2019.0
Brooklyn,Williamsburg,Entire home/apt,140,2,253,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,2019.0
Manhattan,NoHo,Private room,130,2,115,2018.0
Manhattan,West Village,Entire home/apt,199,5,129,2019.0
Brooklyn,Williamsburg,Private room,69,4,82,2019.0
Brooklyn,Fort Greene,Private room,68,3,37,2018.0
Manhattan,East Village,Entire home/apt,130,1,204,2019.0
Brooklyn,Greenpoint,Entire home/apt,195,2,69,2019.0
Manhattan,Harlem,Private room,64,1,192,2019.0
Queens,Ditmars Steinway,Entire home/apt,140,2,17,2019.0
Brooklyn,Cobble Hill,Entire home/apt,159,2,222,2019.0
Manhattan,East Village,Entire home/apt,189,3,205,2019.0
Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,2019.0
Manhattan,East Village,Entire home/apt,239,3,7,2019.0
Manhattan,Flatiron District,Entire home/apt,305,2,108,2019.0
Manhattan,Harlem,Entire home/apt,155,3,222,2019.0
Manhattan,Harlem,Private room,60,1,458,2019.0
Brooklyn,Windsor Terrace,Private room,135,2,21,2019.0
Manhattan,Roosevelt Island,Private room,120,7,17,2019.0
Manhattan,Lower East Side,Entire home/apt,150,3,41,2019.0
Brooklyn,Greenpoint,Entire home/apt,135,2,69,2019.0
Manhattan,Chinatown,Entire home/apt,250,4,18,2019.0
Manhattan,Midtown,Entire home/apt,250,30,82,2016.0
Manhattan,SoHo,Entire home/apt,500,4,94,2019.0
Manhattan,Greenwich Village,Entire home/apt,225,5,10,2019.0
Manhattan,East Harlem,Entire home/apt,125,28,183,2018.0
Manhattan,Harlem,Private room,92,1,189,2019.0
Manhattan,Harlem,Private room,175,2,1,2018.0
Manhattan,East Village,Entire home/apt,99,2,127,2019.0
Manhattan,Upper West Side,Entire home/apt,195,4,4,2017.0
Manhattan,East Harlem,Entire home/apt,140,3,135,2019.0
Manhattan,Chelsea,Entire home/apt,500,2,35,2017.0
Manhattan,Harlem,Private room,80,14,10,2019.0
Manhattan,Chinatown,Private room,120,4,171,2019.0
Manhattan,Midtown,Entire home/apt,110,200,92,2019.0
Brooklyn,East Flatbush,Entire home/apt,65,3,238,2019.0
Manhattan,East Village,Entire home/apt,130,50,56,2019.0
Brooklyn,Bushwick,Entire home/apt,99,3,111,2019.0
Staten Island,Tompkinsville,Private room,36,2,193,2019.0
Staten Island,Tompkinsville,Private room,37,2,147,2019.0
Staten Island,Tompkinsville,Private room,37,2,177,2019.0
Manhattan,East Village,Entire home/apt,175,3,185,2019.0
Manhattan,Chelsea,Entire home/apt,205,9,62,2019.0
Brooklyn,Greenpoint,Entire home/apt,285,3,124,2019.0
Brooklyn,Williamsburg,Private room,59,2,181,2019.0
Staten Island,Tompkinsville,Private room,36,2,333,2019.0
Queens,Astoria,Entire home/apt,99,5,441,2019.0
Brooklyn,Kensington,Private room,39,1,45,2019.0
Brooklyn,Park Slope,Private room,60,14,9,2016.0
Bronx,Eastchester,Entire home/apt,105,2,38,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,2019.0
Manhattan,East Village,Entire home/apt,390,5,143,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,2018.0
Brooklyn,Williamsburg,Private room,60,17,14,2019.0
Brooklyn,Crown Heights,Private room,100,3,279,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,2019.0
Brooklyn,Crown Heights,Private room,110,6,50,2019.0
Brooklyn,Crown Heights,Private room,60,2,227,2019.0
Manhattan,Little Italy,Entire home/apt,90,14,1,2019.0
Manhattan,East Village,Private room,68,2,203,2019.0
Manhattan,Upper West Side,Entire home/apt,115,2,210,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,2019.0
Manhattan,East Village,Entire home/apt,129,7,5,2019.0
Brooklyn,Williamsburg,Entire home/apt,130,10,49,2019.0
Brooklyn,Williamsburg,Entire home/apt,95,4,132,2019.0
Manhattan,Harlem,Private room,75,3,20,2019.0
Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,2019.0
Brooklyn,Crown Heights,Private room,49,21,15,2019.0
Manhattan,East Village,Entire home/apt,212,3,67,2019.0
Manhattan,Lower East Side,Private room,95,1,109,2019.0
Brooklyn,Williamsburg,Entire home/apt,140,2,9,2019.0
Manhattan,Harlem,Entire home/apt,135,6,187,2019.0
Brooklyn,Park Slope,Entire home/apt,150,2,214,2019.0
Brooklyn,Gowanus,Entire home/apt,190,3,69,2019.0
Manhattan,East Harlem,Entire home/apt,124,28,22,2019.0
Brooklyn,Williamsburg,Entire home/apt,135,30,56,2019.0
Manhattan,Morningside Heights,Private room,122,3,93,2019.0
Manhattan,Upper West Side,Private room,109,1,104,2019.0
Manhattan,Harlem,Private room,85,30,64,2018.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,2019.0
Manhattan,Upper West Side,Entire home/apt,195,11,30,2019.0
Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,2019.0
Brooklyn,Greenpoint,Private room,125,3,6,2016.0
Manhattan,Little Italy,Entire home/apt,575,2,191,2019.0
Manhattan,Upper West Side,Entire home/apt,150,30,48,2019.0
Brooklyn,Bushwick,Private room,70,5,47,2019.0
Manhattan,Inwood,Private room,90,2,120,2019.0
Manhattan,East Village,Private room,65,3,52,2019.0
Manhattan,East Village,Entire home/apt,500,2,48,2019.0
Manhattan,Washington Heights,Entire home/apt,250,3,32,2019.0
Manhattan,Chinatown,Entire home/apt,125,25,43,2019.0
Manhattan,West Village,Entire home/apt,200,30,39,2019.0
Bronx,Kingsbridge,Entire home/apt,90,30,4,2019.0
Manhattan,Upper West Side,Entire home/apt,110,13,38,2019.0
Brooklyn,Greenpoint,Private room,59,3,29,2019.0
Brooklyn,Williamsburg,Entire home/apt,195,4,59,2019.0
Brooklyn,Williamsburg,Entire home/apt,169,1,68,2019.0
Queens,Astoria,Entire home/apt,115,2,198,2019.0
Brooklyn,Williamsburg,Private room,69,2,220,2019.0
Manhattan,Lower East Side,Entire home/apt,150,3,286,2019.0
Brooklyn,South Slope,Entire home/apt,169,2,398,2019.0
Brooklyn,Greenpoint,Private room,179,3,36,2019.0
Manhattan,Hell's Kitchen,Private room,150,3,36,2019.0
Brooklyn,Boerum Hill,Entire home/apt,135,4,6,2016.0
Brooklyn,Clinton Hill,Entire home/apt,350,6,14,2019.0
Brooklyn,Williamsburg,Private room,120,14,76,2019.0
Manhattan,East Village,Private room,71,2,182,2019.0
Brooklyn,Greenpoint,Private room,349,3,8,2016.0
Brooklyn,Greenpoint,Private room,349,3,7,2019.0
Brooklyn,Park Slope,Entire home/apt,165,30,34,2018.0
Brooklyn,Brooklyn Heights,Private room,100,3,66,2016.0
Brooklyn,Brooklyn Heights,Entire home/apt,200,3,80,2019.0
Manhattan,East Village,Entire home/apt,169,4,240,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3,46,2019.0
Brooklyn,Bushwick,Entire home/apt,65,2,228,2019.0
Brooklyn,Fort Greene,Entire home/apt,130,35,5,2018.0
Brooklyn,Williamsburg,Entire home/apt,199,30,8,2018.0
Manhattan,East Village,Entire home/apt,225,2,33,2019.0
Brooklyn,Greenpoint,Private room,179,3,13,2019.0
Brooklyn,Crown Heights,Entire home/apt,150,5,5,2018.0
Manhattan,East Village,Entire home/apt,139,1,388,2019.0
Manhattan,Two Bridges,Private room,95,3,223,2019.0
Brooklyn,Crown Heights,Entire home/apt,79,15,11,2019.0
Manhattan,Lower East Side,Entire home/apt,150,2,151,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3,218,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,75,2019.0
Queens,Astoria,Private room,80,1,42,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,370,2019.0
Brooklyn,Crown Heights,Entire home/apt,120,5,104,2019.0
Brooklyn,Williamsburg,Entire home/apt,140,7,13,2016.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,4,2018.0
Brooklyn,Clinton Hill,Private room,165,4,11,2019.0
Manhattan,Chelsea,Entire home/apt,130,30,19,2018.0
Manhattan,East Harlem,Shared room,65,7,131,2019.0
Brooklyn,Fort Greene,Entire home/apt,123,30,15,2019.0
Manhattan,Washington Heights,Private room,67,2,136,2019.0
Queens,Queens Village,Private room,50,1,43,2019.0
Brooklyn,Gowanus,Entire home/apt,130,7,98,2019.0
Brooklyn,Williamsburg,Private room,100,3,31,2019.0
Manhattan,Upper West Side,Entire home/apt,212,21,45,2018.0
Brooklyn,Williamsburg,Entire home/apt,190,3,124,2019.0
Brooklyn,Greenpoint,Private room,599,3,9,2018.0
Manhattan,East Village,Entire home/apt,249,5,166,2019.0
Brooklyn,Crown Heights,Entire home/apt,100,30,15,2019.0
Manhattan,Harlem,Private room,60,3,380,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,86,2019.0
Brooklyn,Greenpoint,Entire home/apt,175,3,248,2019.0
Manhattan,Upper West Side,Entire home/apt,120,5,49,2019.0
Manhattan,Midtown,Entire home/apt,169,18,54,2019.0
Manhattan,Harlem,Private room,90,1,1,2016.0
Manhattan,Upper East Side,Entire home/apt,225,2,56,2018.0
Brooklyn,Fort Greene,Private room,95,2,163,2019.0
Brooklyn,Crown Heights,Private room,55,2,247,2019.0
Manhattan,Hell's Kitchen,Private room,85,10,116,2019.0
Brooklyn,South Slope,Entire home/apt,199,14,27,2019.0
Manhattan,Lower East Side,Entire home/apt,211,1,52,2019.0
Manhattan,Midtown,Entire home/apt,145,6,39,2018.0
Manhattan,Harlem,Private room,65,14,35,2019.0
Manhattan,Harlem,Entire home/apt,99,1,320,2019.0
Queens,Astoria,Entire home/apt,110,4,30,2019.0
Brooklyn,Crown Heights,Entire home/apt,80,3,225,2019.0
Brooklyn,Brooklyn Heights,Entire home/apt,150,30,95,2018.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,4,70,2019.0
Manhattan,Chelsea,Private room,290,2,35,2019.0
Brooklyn,Williamsburg,Entire home/apt,190,4,50,2019.0
Brooklyn,Williamsburg,Entire home/apt,200,2,29,2019.0
Brooklyn,Park Slope,Entire home/apt,165,2,23,2016.0
Manhattan,Harlem,Entire home/apt,110,2,142,2019.0
Manhattan,East Village,Entire home/apt,395,2,70,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,99,2,38,2019.0
Brooklyn,Kensington,Private room,39,1,82,2019.0
Manhattan,East Village,Entire home/apt,189,2,403,2019.0
Manhattan,Harlem,Entire home/apt,122,1,116,2019.0
Brooklyn,Greenpoint,Entire home/apt,165,2,175,2019.0
Queens,Forest Hills,Entire home/apt,97,3,28,2019.0
Manhattan,West Village,Entire home/apt,170,4,24,2017.0
Brooklyn,Williamsburg,Entire home/apt,125,2,15,2016.0
Manhattan,Murray Hill,Private room,130,4,105,2019.0
Brooklyn,Williamsburg,Entire home/apt,225,10,22,2019.0
Brooklyn,East Flatbush,Private room,50,2,263,2019.0
Brooklyn,Fort Greene,Entire home/apt,170,3,86,2019.0
Manhattan,Chelsea,Entire home/apt,132,4,10,2017.0
Brooklyn,Park Slope,Entire home/apt,250,7,18,2019.0
Brooklyn,Greenpoint,Entire home/apt,141,5,8,2018.0
Brooklyn,Crown Heights,Entire home/apt,64,20,70,2019.0
Brooklyn,Williamsburg,Entire home/apt,249,3,150,2019.0
Brooklyn,Crown Heights,Private room,79,2,115,2017.0
Manhattan,East Village,Entire home/apt,185,2,69,2019.0
Brooklyn,Boerum Hill,Entire home/apt,120,3,232,2019.0
Brooklyn,Park Slope,Entire home/apt,495,1,35,2018.0
Manhattan,Nolita,Entire home/apt,175,3,68,2019.0
Manhattan,Harlem,Entire home/apt,259,8,17,2019.0
Manhattan,East Village,Private room,96,1,34,2016.0
Manhattan,Upper West Side,Entire home/apt,95,5,2,2018.0
Brooklyn,Windsor Terrace,Entire home/apt,250,4,52,2019.0
Manhattan,Harlem,Entire home/apt,295,2,74,2019.0
Brooklyn,Williamsburg,Entire home/apt,451,2,72,2019.0
Manhattan,Upper West Side,Entire home/apt,165,2,191,2019.0
Bronx,Woodlawn,Entire home/apt,77,1,197,2019.0
Manhattan,Lower East Side,Entire home/apt,250,4,19,2019.0
Queens,Astoria,Entire home/apt,129,1,414,2019.0
Brooklyn,Williamsburg,Private room,98,2,8,2018.0
Manhattan,East Village,Private room,95,7,25,2019.0
Manhattan,Harlem,Private room,55,3,119,2019.0
Manhattan,Harlem,Entire home/apt,300,2,203,2019.0
Queens,Sunnyside,Private room,42,40,53,2018.0
Brooklyn,Greenpoint,Entire home/apt,125,2,104,2019.0
Manhattan,East Village,Private room,175,3,175,2019.0
Manhattan,Harlem,Private room,75,3,38,2018.0
Brooklyn,Williamsburg,Entire home/apt,255,45,39,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,72,31,88,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,165,1,27,2017.0
Brooklyn,Williamsburg,Entire home/apt,165,5,117,2019.0
Brooklyn,Clinton Hill,Private room,75,3,43,2019.0
Brooklyn,Williamsburg,Entire home/apt,139,2,385,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,88,1,64,2019.0
Brooklyn,Bedford-Stuyvesant,Private room,80,1,39,2019.0
Manhattan,Chelsea,Private room,150,2,37,2019.0
Manhattan,Upper West Side,Entire home/apt,200,3,10,2019.0
Manhattan,East Village,Entire home/apt,200,2,103,2019.0
Queens,Sunnyside,Private room,42,40,41,2019.0
Manhattan,Harlem,Entire home/apt,295,3,227,2019.0
Brooklyn,Williamsburg,Entire home/apt,450,5,37,2018.0
Brooklyn,Crown Heights,Entire home/apt,130,2,29,2019.0
Brooklyn,Williamsburg,Private room,89,3,205,2017.0
Manhattan,Harlem,Entire home/apt,198,5,42,2019.0
Manhattan,East Village,Entire home/apt,99,2,280,2019.0
Brooklyn,Greenpoint,Private room,46,4,86,2019.0
Manhattan,SoHo,Private room,140,2,54,2019.0
Brooklyn,Carroll Gardens,Entire home/apt,500,7,7,2018.0
Manhattan,Morningside Heights,Private room,75,5,57,2019.0
Queens,Sunnyside,Private room,33,44,31,2019.0
Manhattan,Upper West Side,Entire home/apt,250,31,188,2018.0
Brooklyn,Bushwick,Private room,60,3,480,2019.0
Manhattan,Washington Heights,Private room,75,2,34,2019.0
Manhattan,Chelsea,Entire home/apt,205,9,3,2018.0
Brooklyn,Park Slope,Private room,60,1,20,2018.0
Manhattan,Upper West Side,Entire home/apt,185,2,129,2019.0
Manhattan,East Village,Entire home/apt,190,3,147,2019.0
Brooklyn,South Slope,Entire home/apt,105,28,101,2019.0
Manhattan,East Harlem,Entire home/apt,250,2,11,2016.0
Manhattan,Harlem,Private room,65,2,41,2019.0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,2,87,2017.0
Bronx,University Heights,Private room,37,4,117,2019.0
Brooklyn,Williamsburg,Entire home/apt,85,2,86,2019.0
Manhattan,East Harlem,Entire home/apt,79,2,15,2016.0
Brooklyn,Fort Greene,Private room,85,2,35,2019.0
Manhattan,Lower East Side,Private room,115,3,3,2016.0
Manhattan,Harlem,Private room,89,5,43,2018.0
Manhattan,Harlem,Shared room,49,3,168,2019.0
Brooklyn,Greenpoint,Private room,91,3,241,2019.0
Manhattan,Gramercy,Entire home/apt,400,2,105,2019.0
Brooklyn,Bushwick,Entire home/apt,150,2,11,2018.0
Manhattan,Upper West Side,Entire home/apt,2000,30,30,2018.0
Brooklyn,Crown Heights,Entire home/apt,97,3,31,2018.0
Manhattan,East Village,Private room,100,4,49,2019.0
Brooklyn,Williamsburg,Entire home/apt,179,4,23,2019.0
Brooklyn,Greenpoint,Entire home/apt,500,2,20,2019.0
Manhattan,Chelsea,Entire home/apt,429,10,18,2019.0
Manhattan,Kips Bay,Entire home/apt,189,6,90,2019.0
Manhattan,Lower East Side,Private room,120,2,99,2019.0
Manhattan,Nolita,Entire home/apt,300,1,6,2019.0
Queens,Astoria,Entire home/apt,107,30,21,2018.0
Queens,Astoria,Entire home/apt,95,30,24,2019.0
Manhattan,Harlem,Entire home/apt,199,2,111,2019.0
Manhattan,East Harlem,Entire home/apt,120,2,86,2019.0
